image,mask,case,slice
experiments\preprocessed_debug\images\adc_s167.png,experiments\preprocessed_debug\masks\adc_s167.png,adc,167
experiments\preprocessed_debug\images\adc_s168.png,experiments\preprocessed_debug\masks\adc_s168.png,adc,168
experiments\preprocessed_debug\images\adc_s169.png,experiments\preprocessed_debug\masks\adc_s169.png,adc,169
experiments\preprocessed_debug\images\adc_s170.png,experiments\preprocessed_debug\masks\adc_s170.png,adc,170
experiments\preprocessed_debug\images\adc_s171.png,experiments\preprocessed_debug\masks\adc_s171.png,adc,171
experiments\preprocessed_debug\images\adc_s172.png,experiments\preprocessed_debug\masks\adc_s172.png,adc,172
experiments\preprocessed_debug\images\adc_s173.png,experiments\preprocessed_debug\masks\adc_s173.png,adc,173
experiments\preprocessed_debug\images\adc_s174.png,experiments\preprocessed_debug\masks\adc_s174.png,adc,174
experiments\preprocessed_debug\images\adc_s175.png,experiments\preprocessed_debug\masks\adc_s175.png,adc,175
experiments\preprocessed_debug\images\adc_s176.png,experiments\preprocessed_debug\masks\adc_s176.png,adc,176
experiments\preprocessed_debug\images\adc_s177.png,experiments\preprocessed_debug\masks\adc_s177.png,adc,177
experiments\preprocessed_debug\images\adc_s178.png,experiments\preprocessed_debug\masks\adc_s178.png,adc,178
experiments\preprocessed_debug\images\adc_s179.png,experiments\preprocessed_debug\masks\adc_s179.png,adc,179
experiments\preprocessed_debug\images\adc_s180.png,experiments\preprocessed_debug\masks\adc_s180.png,adc,180
experiments\preprocessed_debug\images\adc_s181.png,experiments\preprocessed_debug\masks\adc_s181.png,adc,181
experiments\preprocessed_debug\images\adc_s182.png,experiments\preprocessed_debug\masks\adc_s182.png,adc,182
experiments\preprocessed_debug\images\adc_s183.png,experiments\preprocessed_debug\masks\adc_s183.png,adc,183
experiments\preprocessed_debug\images\adc_s184.png,experiments\preprocessed_debug\masks\adc_s184.png,adc,184
experiments\preprocessed_debug\images\adc_s185.png,experiments\preprocessed_debug\masks\adc_s185.png,adc,185
experiments\preprocessed_debug\images\adc_s186.png,experiments\preprocessed_debug\masks\adc_s186.png,adc,186
experiments\preprocessed_debug\images\adc_s187.png,experiments\preprocessed_debug\masks\adc_s187.png,adc,187
experiments\preprocessed_debug\images\adc_s188.png,experiments\preprocessed_debug\masks\adc_s188.png,adc,188
experiments\preprocessed_debug\images\adc_s189.png,experiments\preprocessed_debug\masks\adc_s189.png,adc,189
experiments\preprocessed_debug\images\adc_s190.png,experiments\preprocessed_debug\masks\adc_s190.png,adc,190
experiments\preprocessed_debug\images\adc_s191.png,experiments\preprocessed_debug\masks\adc_s191.png,adc,191
experiments\preprocessed_debug\images\adc_s192.png,experiments\preprocessed_debug\masks\adc_s192.png,adc,192
experiments\preprocessed_debug\images\adc_s193.png,experiments\preprocessed_debug\masks\adc_s193.png,adc,193
experiments\preprocessed_debug\images\adc_s194.png,experiments\preprocessed_debug\masks\adc_s194.png,adc,194
experiments\preprocessed_debug\images\adc_s195.png,experiments\preprocessed_debug\masks\adc_s195.png,adc,195
experiments\preprocessed_debug\images\adc_s196.png,experiments\preprocessed_debug\masks\adc_s196.png,adc,196
experiments\preprocessed_debug\images\adc_s197.png,experiments\preprocessed_debug\masks\adc_s197.png,adc,197
experiments\preprocessed_debug\images\adc_s198.png,experiments\preprocessed_debug\masks\adc_s198.png,adc,198
experiments\preprocessed_debug\images\adc_s199.png,experiments\preprocessed_debug\masks\adc_s199.png,adc,199
experiments\preprocessed_debug\images\adc_s200.png,experiments\preprocessed_debug\masks\adc_s200.png,adc,200
experiments\preprocessed_debug\images\adc_s201.png,experiments\preprocessed_debug\masks\adc_s201.png,adc,201
experiments\preprocessed_debug\images\adc_s202.png,experiments\preprocessed_debug\masks\adc_s202.png,adc,202
experiments\preprocessed_debug\images\adc_s203.png,experiments\preprocessed_debug\masks\adc_s203.png,adc,203
experiments\preprocessed_debug\images\adc_s204.png,experiments\preprocessed_debug\masks\adc_s204.png,adc,204
experiments\preprocessed_debug\images\adc_s205.png,experiments\preprocessed_debug\masks\adc_s205.png,adc,205
experiments\preprocessed_debug\images\adc_s206.png,experiments\preprocessed_debug\masks\adc_s206.png,adc,206
experiments\preprocessed_debug\images\adc_s207.png,experiments\preprocessed_debug\masks\adc_s207.png,adc,207
experiments\preprocessed_debug\images\adc_s208.png,experiments\preprocessed_debug\masks\adc_s208.png,adc,208
experiments\preprocessed_debug\images\adc_s209.png,experiments\preprocessed_debug\masks\adc_s209.png,adc,209
experiments\preprocessed_debug\images\adc_s210.png,experiments\preprocessed_debug\masks\adc_s210.png,adc,210
experiments\preprocessed_debug\images\adc_s211.png,experiments\preprocessed_debug\masks\adc_s211.png,adc,211
experiments\preprocessed_debug\images\adc_s212.png,experiments\preprocessed_debug\masks\adc_s212.png,adc,212
experiments\preprocessed_debug\images\adc_s213.png,experiments\preprocessed_debug\masks\adc_s213.png,adc,213
experiments\preprocessed_debug\images\adc_s214.png,experiments\preprocessed_debug\masks\adc_s214.png,adc,214
experiments\preprocessed_debug\images\adc_s215.png,experiments\preprocessed_debug\masks\adc_s215.png,adc,215
experiments\preprocessed_debug\images\adc_s216.png,experiments\preprocessed_debug\masks\adc_s216.png,adc,216
experiments\preprocessed_debug\images\adc_s217.png,experiments\preprocessed_debug\masks\adc_s217.png,adc,217
experiments\preprocessed_debug\images\adc_s218.png,experiments\preprocessed_debug\masks\adc_s218.png,adc,218
experiments\preprocessed_debug\images\adc_s219.png,experiments\preprocessed_debug\masks\adc_s219.png,adc,219
experiments\preprocessed_debug\images\adc_s220.png,experiments\preprocessed_debug\masks\adc_s220.png,adc,220
experiments\preprocessed_debug\images\adc_s221.png,experiments\preprocessed_debug\masks\adc_s221.png,adc,221
experiments\preprocessed_debug\images\adc_s222.png,experiments\preprocessed_debug\masks\adc_s222.png,adc,222
experiments\preprocessed_debug\images\adc_s223.png,experiments\preprocessed_debug\masks\adc_s223.png,adc,223
experiments\preprocessed_debug\images\adc_s224.png,experiments\preprocessed_debug\masks\adc_s224.png,adc,224
experiments\preprocessed_debug\images\adc_s225.png,experiments\preprocessed_debug\masks\adc_s225.png,adc,225
experiments\preprocessed_debug\images\adc_s226.png,experiments\preprocessed_debug\masks\adc_s226.png,adc,226
experiments\preprocessed_debug\images\adc_s227.png,experiments\preprocessed_debug\masks\adc_s227.png,adc,227
experiments\preprocessed_debug\images\adc_s228.png,experiments\preprocessed_debug\masks\adc_s228.png,adc,228
experiments\preprocessed_debug\images\adc_s229.png,experiments\preprocessed_debug\masks\adc_s229.png,adc,229
experiments\preprocessed_debug\images\adc_s230.png,experiments\preprocessed_debug\masks\adc_s230.png,adc,230
experiments\preprocessed_debug\images\adc_s231.png,experiments\preprocessed_debug\masks\adc_s231.png,adc,231
experiments\preprocessed_debug\images\t2_s000.png,experiments\preprocessed_debug\masks\t2_s000.png,t2,0
experiments\preprocessed_debug\images\t2_s001.png,experiments\preprocessed_debug\masks\t2_s001.png,t2,1
experiments\preprocessed_debug\images\t2_s002.png,experiments\preprocessed_debug\masks\t2_s002.png,t2,2
experiments\preprocessed_debug\images\t2_s003.png,experiments\preprocessed_debug\masks\t2_s003.png,t2,3
experiments\preprocessed_debug\images\t2_s004.png,experiments\preprocessed_debug\masks\t2_s004.png,t2,4
experiments\preprocessed_debug\images\t2_s005.png,experiments\preprocessed_debug\masks\t2_s005.png,t2,5
experiments\preprocessed_debug\images\t2_s006.png,experiments\preprocessed_debug\masks\t2_s006.png,t2,6
experiments\preprocessed_debug\images\t2_s007.png,experiments\preprocessed_debug\masks\t2_s007.png,t2,7
experiments\preprocessed_debug\images\t2_s008.png,experiments\preprocessed_debug\masks\t2_s008.png,t2,8
experiments\preprocessed_debug\images\t2_s009.png,experiments\preprocessed_debug\masks\t2_s009.png,t2,9
experiments\preprocessed_debug\images\t2_s010.png,experiments\preprocessed_debug\masks\t2_s010.png,t2,10
experiments\preprocessed_debug\images\t2_s011.png,experiments\preprocessed_debug\masks\t2_s011.png,t2,11
experiments\preprocessed_debug\images\t2_s012.png,experiments\preprocessed_debug\masks\t2_s012.png,t2,12
experiments\preprocessed_debug\images\t2_s013.png,experiments\preprocessed_debug\masks\t2_s013.png,t2,13
experiments\preprocessed_debug\images\t2_s014.png,experiments\preprocessed_debug\masks\t2_s014.png,t2,14
experiments\preprocessed_debug\images\t2_s015.png,experiments\preprocessed_debug\masks\t2_s015.png,t2,15
experiments\preprocessed_debug\images\t2_s016.png,experiments\preprocessed_debug\masks\t2_s016.png,t2,16
experiments\preprocessed_debug\images\t2_s017.png,experiments\preprocessed_debug\masks\t2_s017.png,t2,17
experiments\preprocessed_debug\images\t2_s018.png,experiments\preprocessed_debug\masks\t2_s018.png,t2,18
experiments\preprocessed_debug\images\t2_s019.png,experiments\preprocessed_debug\masks\t2_s019.png,t2,19
experiments\preprocessed_debug\images\t2_s020.png,experiments\preprocessed_debug\masks\t2_s020.png,t2,20
experiments\preprocessed_debug\images\t2_s021.png,experiments\preprocessed_debug\masks\t2_s021.png,t2,21
experiments\preprocessed_debug\images\t2_s022.png,experiments\preprocessed_debug\masks\t2_s022.png,t2,22
experiments\preprocessed_debug\images\t2_s023.png,experiments\preprocessed_debug\masks\t2_s023.png,t2,23
experiments\preprocessed_debug\images\t2_s024.png,experiments\preprocessed_debug\masks\t2_s024.png,t2,24
experiments\preprocessed_debug\images\t2_s025.png,experiments\preprocessed_debug\masks\t2_s025.png,t2,25
experiments\preprocessed_debug\images\t2_s026.png,experiments\preprocessed_debug\masks\t2_s026.png,t2,26
experiments\preprocessed_debug\images\t2_s027.png,experiments\preprocessed_debug\masks\t2_s027.png,t2,27
experiments\preprocessed_debug\images\t2_s028.png,experiments\preprocessed_debug\masks\t2_s028.png,t2,28
experiments\preprocessed_debug\images\t2_s029.png,experiments\preprocessed_debug\masks\t2_s029.png,t2,29
experiments\preprocessed_debug\images\t2_s030.png,experiments\preprocessed_debug\masks\t2_s030.png,t2,30
experiments\preprocessed_debug\images\t2_s031.png,experiments\preprocessed_debug\masks\t2_s031.png,t2,31
experiments\preprocessed_debug\images\t2_s032.png,experiments\preprocessed_debug\masks\t2_s032.png,t2,32
experiments\preprocessed_debug\images\t2_s033.png,experiments\preprocessed_debug\masks\t2_s033.png,t2,33
experiments\preprocessed_debug\images\t2_s034.png,experiments\preprocessed_debug\masks\t2_s034.png,t2,34
experiments\preprocessed_debug\images\t2_s035.png,experiments\preprocessed_debug\masks\t2_s035.png,t2,35
